,game_date,game_id,batter_id,at_bats,hits,strikeouts,strikeouts_looking,base_on_balls,hit_by_pitch,singles,doubles,triples,hrs,bip_location,name
162,4/8/2023 12:00,205970,1600762,0,0,0,0,1,0,0,0,0,0,NULL,St*****y
163,4/8/2023 12:00,205970,1600675,1,0,0,0,0,0,0,0,0,0,6,Do**d
164,4/8/2023 12:00,205970,1674818,0,0,0,0,1,0,0,0,0,0,NULL,Ne*****d
165,4/8/2023 12:00,205970,1651897,1,0,0,0,0,0,0,0,0,0,2,Me***e
166,4/8/2023 12:00,205970,1674816,1,1,0,0,0,0,0,1,0,0,15,Vo*****a
167,4/8/2023 12:00,205970,1674820,1,0,1,0,0,0,0,0,0,0,NULL,Gr*****d
168,4/8/2023 12:00,205970,1599778,1,0,0,0,0,0,0,0,0,0,0,Wo**d
169,4/8/2023 12:00,205970,1651898,1,0,0,0,0,0,0,0,0,0,6,Bo**********t
170,4/8/2023 12:00,205970,1600251,1,0,0,0,0,0,0,0,0,0,8,Ka******r
171,4/8/2023 12:00,205970,1600762,1,0,0,0,0,0,0,0,0,0,6,St*****y
172,4/8/2023 12:00,205970,1600675,1,0,0,0,0,0,0,0,0,0,13,Do**d
173,4/8/2023 12:00,205970,1674818,1,0,1,0,0,0,0,0,0,0,NULL,Ne*****d
174,4/8/2023 12:00,205970,1651897,1,0,0,0,0,0,0,0,0,0,5,Me***e
175,4/8/2023 12:00,205970,1674816,1,0,0,0,0,0,0,0,0,0,4,Vo*****a
176,4/8/2023 12:00,205970,1674820,1,0,0,0,0,0,0,0,0,0,6,Gr*****d
177,4/8/2023 12:00,205970,1599778,1,0,0,0,0,0,0,0,0,0,4,Wo**d
178,4/8/2023 12:00,205970,1651898,0,0,0,0,1,0,0,0,0,0,NULL,Bo**********t
179,4/8/2023 12:00,205970,1600251,1,0,0,0,0,0,0,0,0,0,5,Ka******r
180,4/8/2023 12:00,205970,1600762,1,0,0,0,0,0,0,0,0,0,13,St*****y
181,4/8/2023 12:00,205970,1600675,1,0,0,0,0,0,0,0,0,0,8,Do**d
182,4/8/2023 12:00,205970,1631011,0,0,0,0,1,0,0,0,0,0,NULL,Ma*******n
183,4/8/2023 12:00,205970,1651897,1,1,0,0,0,0,1,0,0,0,15,Me***e
184,4/8/2023 12:00,205970,1674816,0,0,0,0,0,0,0,0,0,0,15,Vo*****a
185,4/8/2023 12:00,205970,1674820,1,1,0,0,0,0,1,0,0,0,11,Gr*****d
186,4/8/2023 12:00,205970,1631009,1,0,1,0,0,0,0,0,0,0,NULL,Bu*******e
187,4/8/2023 12:00,205970,1651898,1,0,0,0,0,0,0,0,0,0,5,Bo**********t
188,4/8/2023 12:00,205970,1600251,1,0,1,1,0,0,0,0,0,0,NULL,Ka******r
189,4/8/2023 12:00,205970,1600762,1,0,0,0,0,0,0,0,0,0,5,St*****y
190,4/8/2023 12:00,205970,1600675,1,0,0,0,0,0,0,0,0,0,11,Do**d
191,4/15/2023 15:00,218034,1651898,1,0,0,0,0,0,0,0,0,0,6,Bo**********t
192,4/15/2023 15:00,218034,1600251,1,1,0,0,0,0,1,0,0,0,13,Ka******r
193,4/15/2023 15:00,218034,1600762,1,1,0,0,0,0,1,0,0,0,11,St*****y
194,4/15/2023 15:00,218034,1600675,1,0,0,0,0,0,0,0,0,0,4,Do**d
195,4/15/2023 15:00,218034,1597876,1,1,0,0,0,0,1,0,0,0,11,Ba**l
196,4/15/2023 15:00,218034,1631011,1,1,0,0,0,0,1,0,0,0,5,Ma*******n
197,4/15/2023 15:00,218034,1674816,1,0,1,0,0,0,0,0,0,0,NULL,Vo*****a
198,4/15/2023 15:00,218034,1674820,1,0,0,0,0,0,0,0,0,0,4,Gr*****d
199,4/15/2023 15:00,218034,1599778,1,0,0,0,0,0,0,0,0,0,13,Wo**d
200,4/15/2023 15:00,218034,1651898,1,0,0,0,0,0,0,0,0,0,2,Bo**********t
201,4/15/2023 15:00,218034,1600251,1,0,0,0,0,0,0,0,0,0,15,Ka******r
202,4/15/2023 15:00,218034,1600762,0,0,0,0,1,0,0,0,0,0,NULL,St*****y
203,4/15/2023 15:00,218034,1600675,1,0,0,0,0,0,0,0,0,0,6,Do**d
204,4/15/2023 15:00,218034,1597876,1,0,0,0,0,0,0,0,0,0,13,Ba**l
205,4/15/2023 15:00,218034,1631011,1,0,0,0,0,0,0,0,0,0,8,Ma*******n
206,4/15/2023 15:00,218034,1674816,0,0,0,0,1,0,0,0,0,0,NULL,Vo*****a
207,4/15/2023 15:00,218034,1674820,1,0,0,0,0,0,0,0,0,0,8,Gr*****d
208,4/15/2023 15:00,218034,1599778,1,0,1,1,0,0,0,0,0,0,NULL,Wo**d
209,4/15/2023 15:00,218034,1651898,0,0,0,0,0,1,0,0,0,0,NULL,Bo**********t
210,4/15/2023 15:00,218034,1600251,0,0,0,0,1,0,0,0,0,0,NULL,Ka******r
211,4/15/2023 15:00,218034,1600762,1,0,0,0,0,0,0,0,0,0,8,St*****y
212,4/15/2023 15:00,218034,1600675,1,0,0,0,0,0,0,0,0,0,4,Do**d
213,4/15/2023 15:00,218034,1597876,1,0,0,0,0,0,0,0,0,0,4,Ba**l
214,4/15/2023 15:00,218034,1631011,1,1,0,0,0,0,1,0,0,0,5,Ma*******n
215,4/15/2023 15:00,218034,1674816,0,0,0,0,0,0,0,0,0,0,5,Vo*****a
216,4/15/2023 15:00,218034,1651897,1,0,1,0,0,0,0,0,0,0,NULL,Me***e
217,4/15/2023 15:00,218034,1599778,1,1,0,0,0,0,1,0,0,0,10,Wo**d
218,4/15/2023 15:00,218034,1651898,1,1,0,0,0,0,1,0,0,0,8,Bo**********t
219,4/15/2023 15:00,218034,1600251,1,0,0,0,0,0,0,0,0,0,4,Ka******r
220,4/15/2023 15:00,218034,1600762,1,1,0,0,0,0,1,0,0,0,10,St*****y
221,4/15/2023 15:00,218034,1600675,1,1,0,0,0,0,0,1,0,0,11,Do**d
222,4/15/2023 15:00,218034,1597876,1,0,0,0,0,0,0,0,0,0,5,Ba**l
223,4/15/2023 15:00,218034,1674815,1,0,0,0,0,0,0,0,0,0,2,St****p
224,4/15/2023 15:00,218034,1674816,1,0,1,0,0,0,0,0,0,0,NULL,Vo*****a
225,4/15/2023 12:00,218035,1651898,1,0,0,0,0,0,0,0,0,0,8,Bo**********t
226,4/15/2023 12:00,218035,1600251,1,0,0,0,0,0,0,0,0,0,8,Ka******r
227,4/15/2023 12:00,218035,1600762,1,1,0,0,0,0,1,0,0,0,11,St*****y
228,4/15/2023 12:00,218035,1600675,1,0,0,0,0,0,0,0,0,0,8,Do**d
229,4/15/2023 12:00,218035,1597876,1,0,0,0,0,0,0,0,0,0,4,Ba**l
230,4/15/2023 12:00,218035,1674816,1,0,0,0,0,0,0,0,0,0,11,Vo*****a
231,4/15/2023 12:00,218035,1651897,1,1,0,0,0,0,1,0,0,0,5,Me***e
232,4/15/2023 12:00,218035,1631011,1,0,0,0,0,0,0,0,0,0,6,Ma*******n
233,4/15/2023 12:00,218035,1599778,1,0,0,0,0,0,0,0,0,0,8,Wo**d
234,4/15/2023 12:00,218035,1651898,1,0,0,0,0,0,0,0,0,0,8,Bo**********t
235,4/15/2023 12:00,218035,1600251,1,0,0,0,0,0,0,0,0,0,11,Ka******r
236,4/15/2023 12:00,218035,1600762,1,1,0,0,0,0,0,0,0,1,11,St*****y
237,4/15/2023 12:00,218035,1600675,1,1,0,0,0,0,1,0,0,0,5,Do**d
238,4/15/2023 12:00,218035,1597876,1,0,0,0,0,0,0,0,0,0,13,Ba**l
239,4/15/2023 12:00,218035,1674816,0,0,0,0,1,0,0,0,0,0,NULL,Vo*****a
240,4/15/2023 12:00,218035,1651897,1,0,0,0,0,0,0,0,0,0,6,Me***e
241,4/15/2023 12:00,218035,1631011,0,0,0,0,1,0,0,0,0,0,NULL,Ma*******n
242,4/15/2023 12:00,218035,1599778,0,0,0,0,1,0,0,0,0,0,NULL,Wo**d
243,4/15/2023 12:00,218035,1651898,1,0,1,1,0,0,0,0,0,0,NULL,Bo**********t
244,4/15/2023 12:00,218035,1600251,0,0,0,0,1,0,0,0,0,0,NULL,Ka******r
245,4/15/2023 12:00,218035,1600762,0,0,0,0,1,0,0,0,0,0,NULL,St*****y
246,4/15/2023 12:00,218035,1600675,1,0,0,0,0,0,0,0,0,0,4,Do**d
247,4/15/2023 12:00,218035,1597876,1,1,0,0,0,0,0,1,0,0,15,Ba**l
248,4/15/2023 12:00,218035,1674816,0,0,0,0,0,0,0,0,0,0,13,Vo*****a
249,4/15/2023 12:00,218035,1651897,1,1,0,0,0,0,0,1,0,0,16,Me***e
250,4/15/2023 12:00,218035,1631011,0,0,0,0,1,0,0,0,0,0,NULL,Ma*******n
251,4/15/2023 12:00,218035,1599778,1,0,0,0,0,0,0,0,0,0,9,Wo**d
252,4/15/2023 12:00,218035,1651898,1,0,0,0,0,0,0,0,0,0,2,Bo**********t
253,4/15/2023 12:00,218035,1600251,1,0,1,0,0,0,0,0,0,0,NULL,Ka******r
254,4/15/2023 12:00,218035,1600762,1,1,0,0,0,0,1,0,0,0,13,St*****y
255,4/15/2023 12:00,218035,1600675,1,0,0,0,0,0,0,0,0,0,11,Do**d
256,4/15/2023 12:00,218035,1597876,1,0,1,1,0,0,0,0,0,0,NULL,Ba**l
257,4/15/2023 12:00,218035,1674816,1,0,0,0,0,0,0,0,0,0,4,Vo*****a
258,4/15/2023 12:00,218035,1651897,1,0,0,0,0,0,0,0,0,0,4,Me***e
259,4/18/2023 15:00,224294,1651898,1,0,0,0,0,0,0,0,0,0,4,Bo**********t
260,4/18/2023 15:00,224294,1600251,1,1,0,0,0,0,1,0,0,0,15,Ka******r
261,4/18/2023 15:00,224294,1600762,1,0,1,0,0,0,0,0,0,0,NULL,St*****y
262,4/18/2023 15:00,224294,1600675,1,0,1,0,0,0,0,0,0,0,NULL,Do**d
263,4/18/2023 15:00,224294,1597876,1,0,0,0,0,0,0,0,0,0,15,Ba**l
264,4/18/2023 15:00,224294,1674816,1,0,0,0,0,0,0,0,0,0,4,Vo*****a
265,4/18/2023 15:00,224294,1651897,1,0,0,0,0,0,0,0,0,0,4,Me***e
266,4/18/2023 15:00,224294,1674820,1,0,0,0,0,0,0,0,0,0,2,Gr*****d
267,4/18/2023 15:00,224294,1599778,1,0,0,0,0,0,0,0,0,0,13,Wo**d
268,4/18/2023 15:00,224294,1651898,1,0,0,0,0,0,0,0,0,0,2,Bo**********t
269,4/18/2023 15:00,224294,1600251,1,0,0,0,0,0,0,0,0,0,6,Ka******r
270,4/18/2023 15:00,224294,1600762,1,0,0,0,0,0,0,0,0,0,11,St*****y
271,4/18/2023 15:00,224294,1600675,1,1,0,0,0,0,1,0,0,0,5,Do**d
272,4/18/2023 15:00,224294,1597876,1,1,0,0,0,0,1,0,0,0,10,Ba**l
273,4/18/2023 15:00,224294,1674816,1,1,0,0,0,0,1,0,0,0,7,Vo*****a
274,4/18/2023 15:00,224294,1651897,1,0,0,0,0,0,0,0,0,0,15,Me***e
275,4/18/2023 15:00,224294,1674820,1,0,0,0,0,0,0,0,0,0,4,Gr*****d
276,4/18/2023 15:00,224294,1599778,1,1,0,0,0,0,1,0,0,0,13,Wo**d
277,4/18/2023 15:00,224294,1651898,1,1,0,0,0,0,1,0,0,0,NULL,Bo**********t
278,4/18/2023 15:00,224294,1600251,1,0,0,0,0,0,0,0,0,0,13,Ka******r
279,4/18/2023 15:00,224294,1600762,0,0,0,0,1,0,0,0,0,0,NULL,St*****y
280,4/18/2023 15:00,224294,1600675,1,1,0,0,0,0,1,0,0,0,5,Do**d
281,4/18/2023 15:00,224294,1597876,1,0,0,0,0,0,0,0,0,0,6,Ba**l
282,4/18/2023 15:00,224294,1674816,1,1,0,0,0,0,0,0,0,1,11,Vo*****a
283,4/18/2023 15:00,224294,1631011,1,1,0,0,0,0,1,0,0,0,12,Ma*******n
284,4/18/2023 15:00,224294,1674820,1,1,0,0,0,0,1,0,0,0,15,Gr*****d
285,4/18/2023 15:00,224294,1631009,1,0,1,0,0,0,0,0,0,0,NULL,Bu*******e
286,4/18/2023 15:00,224294,1651898,1,1,0,0,0,0,1,0,0,0,16,Bo**********t
287,4/18/2023 15:00,224294,1600251,1,0,0,0,0,0,0,0,0,0,15,Ka******r
288,4/18/2023 15:00,224294,1600762,1,1,0,0,0,0,1,0,0,0,15,St*****y
289,4/18/2023 15:00,224294,1674818,1,0,0,0,0,0,0,0,0,0,2,Ne*****d
290,4/18/2023 15:00,224294,1597876,1,1,0,0,0,0,1,0,0,0,5,Ba**l
291,4/18/2023 15:00,224294,1674816,1,1,0,0,0,0,1,0,0,0,13,Vo*****a
292,4/18/2023 15:00,224294,1631011,1,1,0,0,0,0,1,0,0,0,5,Ma*******n
293,4/18/2023 15:00,224294,1674820,1,0,1,0,0,0,0,0,0,0,NULL,Gr*****d
294,4/18/2023 12:00,224295,1651898,1,0,0,0,0,0,0,0,0,0,11,Bo**********t
295,4/18/2023 12:00,224295,1600251,1,0,1,1,0,0,0,0,0,0,NULL,Ka******r
296,4/18/2023 12:00,224295,1600762,1,0,0,0,0,0,0,0,0,0,2,St*****y
297,4/18/2023 12:00,224295,1600675,1,0,0,0,0,0,0,0,0,0,5,Do**d
298,4/18/2023 12:00,224295,1597876,1,0,0,0,0,0,0,0,0,0,6,Ba**l
299,4/18/2023 12:00,224295,1631011,1,0,1,0,0,0,0,0,0,0,NULL,Ma*******n
300,4/18/2023 12:00,224295,1651897,0,0,0,0,1,0,0,0,0,0,NULL,Me***e
301,4/18/2023 12:00,224295,1674816,1,0,1,1,0,0,0,0,0,0,NULL,Vo*****a
302,4/18/2023 12:00,224295,1599778,1,1,0,0,0,0,1,0,0,0,NULL,Wo**d
303,4/18/2023 12:00,224295,1651898,1,0,0,0,0,0,0,0,0,0,0,Bo**********t
304,4/18/2023 12:00,224295,1600251,0,0,0,0,1,0,0,0,0,0,NULL,Ka******r
305,4/18/2023 12:00,224295,1600762,1,0,0,0,0,0,0,0,0,0,6,St*****y
306,4/18/2023 12:00,224295,1600675,1,0,0,0,0,0,0,0,0,0,4,Do**d
307,4/18/2023 12:00,224295,1597876,1,0,1,1,0,0,0,0,0,0,NULL,Ba**l
308,4/18/2023 12:00,224295,1631011,1,0,0,0,0,0,0,0,0,0,4,Ma*******n
309,4/18/2023 12:00,224295,1651897,0,0,0,0,1,0,0,0,0,0,NULL,Me***e
310,4/18/2023 12:00,224295,1674816,1,1,0,0,0,0,0,1,0,0,11,Vo*****a
311,4/18/2023 12:00,224295,1599778,0,0,0,0,1,0,0,0,0,0,NULL,Wo**d
312,4/18/2023 12:00,224295,1651898,1,0,0,0,0,0,0,0,0,0,4,Bo**********t
313,4/18/2023 12:00,224295,1600251,1,0,1,0,0,0,0,0,0,0,NULL,Ka******r
314,4/18/2023 12:00,224295,1600762,1,0,0,0,0,0,0,0,0,0,11,St*****y
315,4/18/2023 12:00,224295,1600675,1,0,0,0,0,0,0,0,0,0,4,Do**d
316,4/18/2023 12:00,224295,1597876,0,0,0,0,1,0,0,0,0,0,NULL,Ba**l
317,4/18/2023 12:00,224295,1631011,0,0,0,0,1,0,0,0,0,0,NULL,Ma*******n
318,4/18/2023 12:00,224295,1651897,1,0,0,0,0,0,0,0,0,0,4,Me***e
319,4/18/2023 12:00,224295,1674816,1,0,0,0,0,0,0,0,0,0,11,Vo*****a
320,4/18/2023 12:00,224295,1674818,1,0,1,1,0,0,0,0,0,0,NULL,Ne*****d
321,4/18/2023 12:00,224295,1651898,1,0,0,0,0,0,0,0,0,0,4,Bo**********t
322,4/18/2023 12:00,224295,1600251,1,0,0,0,0,0,0,0,0,0,4,Ka******r
